Usuario,ID del tweet,Contenido
JDOviedoA,1691809045982667052,"La autoridad no es imponerse o hablar duro, es actuar con #legitimidad. Con nuestro plan de choque de 100 días, recuperaremos la #confianza ciudadana, transformando localidades y reduciendo los índices de inseguridad.💪🏙️#OviedoCabezaYCorazón https://t.co/ebmpF1NxS0"
JDOviedoA,1691646939404636475,RT @JuanKarlosVeneg: @JDOviedoA Felicitaciones a tu querida madre.
JDOviedoA,1691606342635536477,@JDOviedoA Felicitaciones a tu querida madre.
JDOviedoA,1689569273772228608,"If you own a mouse, you will never turn off your computer again."
JDOviedoA,1691646924829454402,RT @Di_Serrano: @JDOviedoA Excelente Oviedo que reconozca a su madre.
JDOviedoA,1691645273901031729,@JDOviedoA Excelente Oviedo que reconozca a su madre.
JDOviedoA,1691646914524008480,RT @lucyaraujo812: @JDOviedoA Felicidades a tu querida mamá que mi Dios y la vida la llenen de mucha salud 🙏 bendiciones 🥰
JDOviedoA,1691627401745150156,@JDOviedoA Felicidades a tu querida mamá que mi Dios y la vida la llenen de mucha salud 🙏 bendiciones 🥰
JDOviedoA,1691646895326679294,"RT @caroortega24: @JDOviedoA Un abrazo a tu mami, con toda por Bogotá"
JDOviedoA,1691612843798344161,"@JDOviedoA Un abrazo a tu mami, con toda por Bogotá"
JDOviedoA,1691646864947335245,"RT @ROVIEDOA: @JDOviedoA La jefa, la que nos enseño que las metas se obtienen con esfuerzo, honestidad, sin demeritar a nadie, siempre acompañándonos y dándonos animo y fortaleza para no desfallecer en los objetivos que nos trazamos, ella es la riqueza de nuestra familia, gracias madre y feliz cumpleaños"
JDOviedoA,1691607982360977654,"@JDOviedoA La jefa, la que nos enseño que las metas se obtienen con esfuerzo, honestidad, sin demeritar a nadie, siempre acompañándonos y dándonos animo y fortaleza para no desfallecer en los objetivos que nos trazamos, ella es la riqueza de nuestra familia, gracias madre y feliz cumpleaños"
JDOviedoA,1691646817622999060,RT @lucilamejia53: @JDOviedoA https://t.co/rwUdzBS9DI
JDOviedoA,1691618332833681699,@JDOviedoA https://t.co/rwUdzBS9DI
JDOviedoA,1691646600072909136,RT @infobaecolombia: Juan Daniel Oviedo invitó a los ciudadanos a no hacer comentarios de odio en su contra: lo señalan de ser uribista y politiquero https://t.co/UCB0dVHdhz
JDOviedoA,1691441360128380928,Juan Daniel Oviedo invitó a los ciudadanos a no hacer comentarios de odio en su contra: lo señalan de ser uribista y politiquero https://t.co/UCB0dVHdhz
JDOviedoA,1691644236062392752,"RT @JDOviedoA: Un paréntesis. Hoy es el cumpleaños de mi mamá, quien con trabajo y honestidad nos sacó adelante. Son muchas las valientes que así lo han hecho. Mi reconocimiento y agradecimiento siempre."
JDOviedoA,1691605594426200267,"Un paréntesis. Hoy es el cumpleaños de mi mamá, quien con trabajo y honestidad nos sacó adelante. Son muchas las valientes que así lo han hecho. Mi reconocimiento y agradecimiento siempre."
JDOviedoA,1691624042539749462,"El modelo de gobernar que proponemos para #Bogotá es reconocer las realidades, y garantizar la #seguridad con autoridad, la #movilidad con convivencia, la reducción de la pobreza con generación de #empleo y emprendimiento."
JDOviedoA,1691619013497929964,RT @Canal1Colombia: Juan Daniel Oviedo es el primer candidato a la Alcaldía de Bogotá que se le mide a sentarse frente al polígrafo. ¿Pasó la prueba? 🔍
JDOviedoA,1691616506499743861,Juan Daniel Oviedo es el primer candidato a la Alcaldía de Bogotá que se le mide a sentarse frente al polígrafo. ¿Pasó la prueba? 🔍
JDOviedoA,1691601136719950262,RT @Canal1Colombia: Estamos en vivo 🔴 Siga la señal de Sin Carreta acá:https://t.co/sIgGGFTKgx
JDOviedoA,1691601063999107401,Estamos en vivo 🔴 Siga la señal de Sin Carreta acá:https://t.co/sIgGGFTKgx
JDOviedoA,1691600876798931435,RT @JulianArdilaB: #OviedoParaOreja en #Usaquén. En la localidad la ciudadanía habló sobre:
JDOviedoA,1691593613036093574,#OviedoParaOreja en #Usaquén. En la localidad la ciudadanía habló sobre:
JDOviedoA,1691588966212862288,RT @JDOviedoA: 🤩⚡️Esto fue lo que hicimos la semana pasada:
JDOviedoA,1691557168858681563,🤩⚡️Esto fue lo que hicimos la semana pasada:
JDOviedoA,1691584605747281954,"RT @LuisFerMejia: Esta es la evolución del crecimiento económico postpandemia. Hoy tenemos un PIB 11,3% más grande que en 2019, jalonado especialmente por el crecimiento del consumo privado. Lo preocupante es que la inversión no levanta cabeza, y tuvo su peor contracción en 16 años (sin pandemia). https://t.co/usBrGPigqa"
JDOviedoA,1691584321352540459,"Esta es la evolución del crecimiento económico postpandemia. Hoy tenemos un PIB 11,3% más grande que en 2019, jalonado especialmente por el crecimiento del consumo privado. Lo preocupante es que la inversión no levanta cabeza, y tuvo su peor contracción en 16 años (sin pandemia). https://t.co/usBrGPigqa"
JDOviedoA,1691583887854494005,RT @amparopelaez: @CxRamirezMiguel @JDOviedoA ME GUSTARÍA SABER Q SORPRESAS SE LLEVÓ EL CANDIDATO D ESTE RECORRIDO D 24 HORASX TODO BOGOTÁ.Q SUPO Q NO SABÍA D BOGOTÁ .Q LE IMPACTO.CUAL FUE EL COMÚN DENOMINADOR Y SI HOMBRES Y MUJERES PIENSAN IGUAL O DISTINTO.Y EN Q PLAN ANDA LA JUVENTUD Y LOS ADULTOS MAYORES
JDOviedoA,1690798133582721024,@CxRamirezMiguel @JDOviedoA ME GUSTARÍA SABER Q SORPRESAS SE LLEVÓ EL CANDIDATO D ESTE RECORRIDO D 24 HORASX TODO BOGOTÁ.Q SUPO Q NO SABÍA D BOGOTÁ .Q LE IMPACTO.CUAL FUE EL COMÚN DENOMINADOR Y SI HOMBRES Y MUJERES PIENSAN IGUAL O DISTINTO.Y EN Q PLAN ANDA LA JUVENTUD Y LOS ADULTOS MAYORES
JDOviedoA,1691573674443231720,RT @RevistaSemana: 🔴 Vea lo que pasó con el candidato Juan Daniel Oviedo: https://t.co/ywlMCvW5lj https://t.co/dOlbhQr5jS
JDOviedoA,1691526701820338176,🔴 Vea lo que pasó con el candidato Juan Daniel Oviedo: https://t.co/ywlMCvW5lj https://t.co/dOlbhQr5jS
